1,8.30
2,7.48
3,9.45
4,6.99
5,10.96
6,7.16
7,6.47
8,9.18
9,7.40
10,12.78
11,19.55
12,18.40
13,11.33
14,19.96
15,13.35
16,11.52
17,17.12
18,19.18
19,7.90
20,20.73
21,17.84
22,21.00
23,21.52
24,21.85
25,21.38
26,17.15
27,19.50
28,19.08
29,9.18
30,10.65
31,14.06
32,16.77
33,8.22
34,15.99
35,13.10
36,12.63
37,11.72
38,14.78
39,16.01
40,9.96
41,10.34
42,13.14
43,9.57
44,19.06
45,11.29
46,9.43
47,17.83
48,17.45
49,9.62
50,17.17
51,10.35
52,15.94
53,16.23
54,12.84
55,12.36
56,10.35
57,17.06
58,16.14
59,9.48
60,9.83
61,25.36
62,19.17
63,9.37
64,11.44
65,26.60
66,28.27
67,10.93
68,28.00
69,19.57
70,27.65
71,15.78
72,25.89
73,12.33
74,25.71
75,26.57
76,15.08
77,25.73
78,14.64
79,29.38
80,25.42
81,13.89
82,8.69
83,24.43
84,28.19
85,15.90
86,23.95
87,11.08
88,14.41
89,22.11
90,27.97
91,20.77
92,22.21
93,12.34
94,31.69
95,12.67
96,18.04
97,25.98
98,16.79
99,8.16
100,13.69
101,17.39
102,9.19
103,28.24
104,29.41
105,13.39
106,9.63
107,17.67
108,9.51
109,8.88
110,13.85
111,10.02
112,14.20
113,12.32
114,12.87
115,20.74
116,12.23
117,18.46
118,18.52
119,12.15
120,12.21
121,18.37
122,12.18
123,18.88
124,12.20
125,16.58
126,11.48
127,16.77
128,17.73
129,10.89
130,17.88
131,15.05
132,16.28
133,18.32
134,16.47
135,16.20
136,14.08
137,15.13
138,15.40
139,15.86
140,11.49
141,12.45
142,12.63
143,11.41
144,12.74
145,11.23
146,13.36
147,12.65
148,18.85
149,12.80
150,19.02
151,18.56
152,13.38
153,15.82
154,9.15
155,42.44
156,14.78
157,15.41
158,8.59
159,14.65
160,9.48
161,11.75
162,32.13
163,54.31
164,33.08
165,23.56
166,22.22
167,10.90
168,33.55
169,18.11
170,23.03
171,39.28
172,25.00
173,31.69
174,19.50
175,46.80
176,19.71
177,51.80
178,21.98
179,25.36
180,87.96
181,111.63
182,68.35
183,76.66
184,96.64
185,54.79
186,60.90
187,65.97
188,56.96
189,53.31
190,60.77
191,61.97
192,49.57
193,37.50
194,69.64
195,38.63
196,85.14
197,102.50
198,44.12
199,99.25
200,102.23
201,74.71
202,93.99
203,40.43
204,48.86
205,106.25
206,35.18
207,28.96
208,29.90
209,30.86
210,25.75
211,44.31
212,25.99
213,22.27
214,26.09
215,19.04
216,29.36
217,21.49
218,15.88
219,20.65
220,15.24
221,22.07
222,18.01
223,9.76
224,21.13
225,21.02
226,18.42
227,19.84
228,21.04
229,27.65
